step,time,object_id,shape,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
40,0.666667,0,1,-3.156421,7.496967,0.000000,-30.792219,8.479227,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
41,0.683333,0,1,-3.645358,7.673614,0.000000,-29.791763,9.895297,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
42,0.700000,0,1,-4.114913,7.871636,0.000000,-28.686914,11.212710,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
43,0.716667,0,1,-4.563213,8.087945,0.000000,-27.468212,12.382207,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
44,0.733333,0,1,-4.988083,8.319389,0.000000,-26.124054,13.376222,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
45,0.750000,0,1,-5.387361,8.562304,0.000000,-24.651297,14.165215,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
46,0.766667,0,1,-5.759058,8.812567,0.000000,-23.055979,14.720944,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
47,0.783333,0,1,-6.101521,9.065707,0.000000,-21.353506,15.020102,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
48,0.800000,0,1,-6.413607,9.317109,0.000000,-19.569605,15.049148,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
49,0.816667,0,1,-6.694946,9.562364,0.000000,-17.743444,14.812065,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
50,0.833333,0,1,-6.946366,9.797919,0.000000,-15.935710,14.344438,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
51,0.850000,0,1,-7.170634,10.022220,0.000000,-14.243403,13.737682,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
52,0.866666,0,1,-7.373359,10.237367,0.000000,-12.813940,13.168094,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
53,0.883333,0,1,-7.563179,10.450368,0.000000,-11.821856,12.889473,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
54,0.900000,0,1,-7.749518,10.671578,0.000000,-11.360994,13.119094,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
55,0.916666,0,1,-7.938625,10.909984,0.000000,-11.331923,13.876597,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
56,0.933333,0,1,-8.132038,11.170153,0.000000,-11.505036,14.997361,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
57,0.950000,0,1,-8.328232,11.453249,0.000000,-11.678595,16.290440,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
58,0.966666,0,1,-8.524465,11.758864,0.000000,-11.738426,17.624792,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
59,0.983333,0,1,-8.717686,12.085888,0.000000,-11.636734,18.926611,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
60,1.000000,0,1,-8.904930,12.432841,0.000000,-11.362315,20.156864,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
61,1.016666,0,1,-9.083480,12.798050,0.000000,-10.921914,21.295273,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
62,1.033333,0,1,-9.250936,13.179743,0.000000,-10.330547,22.331850,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
63,1.050000,0,1,-9.405231,13.576136,0.000000,-9.606609,23.262865,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
64,1.066666,0,1,-9.544626,13.985486,0.000000,-8.769299,24.088945,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
65,1.083333,0,1,-9.667685,14.406141,0.000000,-7.837122,24.814085,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
66,1.100000,0,1,-9.773239,14.836587,0.000000,-6.826947,25.445013,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
67,1.116666,0,1,-9.860341,15.275473,0.000000,-5.753295,25.990566,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
68,1.133333,0,1,-9.928221,15.721633,0.000000,-4.627917,26.461069,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
